round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_count,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,200,17999.999999999996,0.019119988901532808,0.15834109241410738,0.11122930192049865,0.0010540401925858076,0.0010540401925858076,0.10849134873928698,0.019119988901532808,0.0010540401925858076,0.29026807927264203,0.29026807927264203,0.15723921077508354,0.03623278926952481,0.10849134873928698,0.038239977803065615,0.0031621205777574253,0.06590754567538398,0.003642085102481466,0.5768940734428025,0.00517604055198691,0.0011018816390237934,0.003912926423602979
2,complete,91,180.60676368778633,181,90,200,17999.999999999996,0.02363207199903818,0.15945581455442412,0.1068513580715249,0.0015980213764832283,0.0015980213764832283,0.12108873651424985,0.02363207199903818,0.0015980213764832283,0.28027294136613756,0.28027294136613756,0.15874453042785647,0.036307656630778944,0.12108873651424983,0.04726414399807635,0.004794064129449689,0.06401720296371283,0.0029271136029399803,0.5576187691293352,0.0037017473941868932,0.0007112841265676059,0.0028247510828462545
3,complete,182,271.6067636877863,272,90,200,18000.000000000007,0.024408704169833834,0.1562986438782107,0.10721350471998445,0.0016470143218344736,0.0016470143218344736,0.12115077077355436,0.024408704169833834,0.0016470143218344736,0.28078931466153967,0.28078931466153967,0.15544648938129418,0.03504451960750453,0.12115077077355434,0.048817408339667655,0.004941042965503422,0.065632851571257,0.0022485968510276098,0.5593300324720517,0.003958860976268655,0.000852154496916543,0.0025772725649542507
4,complete,273,362.6067636877863,363,90,200,18000.00000000001,0.023191479335026667,0.17115528710963046,0.08966437119608876,0.0015351473508582263,0.0015351473508582263,0.11395031955080251,0.023191479335026667,0.0015351473508582263,0.28712081071042506,0.28712081071042506,0.17004555863788962,0.03215883221391775,0.11395031955080254,0.04638295867005334,0.004605442052574682,0.050944463905366937,0.002980929465616966,0.5712606919552332,0.0037221762469231605,0.0011097284717408273,0.0028388988298808926
5,complete,364,453.6067636877863,454,90,200,17999.999999999996,0.023936148042721827,0.151596327959351,0.10206113688579901,0.0015924547885511693,0.0015924547885511693,0.11787159596718498,0.023936148042721827,0.0015924547885511693,0.2879106393682839,0.2879106393682839,0.15072738759522644,0.0320298054241989,0.11787159596718493,0.04787229608544363,0.004777364365653507,0.06355951945895456,0.002382427447896418,0.5734388512886717,0.0037541894470583498,0.0008689403641244933,0.002717622555587141
6,complete,455,544.6067636877864,545,90,200,18000.0,0.023215745612710094,0.14925091453147915,0.10756474344846609,0.0015292891641110662,0.0015292891641110662,0.11722947710856088,0.023215745612710094,0.0015292891641110662,0.2874677530968703,0.2874677530968703,0.1483677905598035,0.03597887820331484,0.11722947710856087,0.04643149122542018,0.004587867492333199,0.06482395902363858,0.0030690546698530934,0.5718664515238875,0.00391934963506152,0.0008831239716755246,0.0028425565864511966
7,complete,546,635.6067636877864,636,90,200,18000.0,0.01933641071213524,0.15538088349103094,0.11709927513468094,0.0010882238691680216,0.0010882238691680216,0.10928495710888597,0.01933641071213524,0.0010882238691680216,0.28814869561681383,0.28814869561681383,0.1543484344314665,0.03997398220357998,0.10928495710888597,0.03867282142427048,0.0032646716075040647,0.06749924704294094,0.00430867278363624,0.5719887184499913,0.005279626594094833,0.0010324490595645212,0.004346419294065136
8,complete,637,726.6067636877864,727,90,200,18000.0,0.02006785008856373,0.15102986892036685,0.11207845105776834,0.0011983392540199326,0.0011983392540199326,0.1096266570195804,0.02006785008856373,0.0011983392540199326,0.29176715253154856,0.29176715253154856,0.15004737904639148,0.036223323657561646,0.10962665701958037,0.040135700177127455,0.0035950177620597988,0.06754919548579491,0.0030975131822106043,0.5804367918808865,0.004687437546975035,0.000982489873975344,0.0036184943674367593
9,complete,728,817.6067636877864,818,90,200,18000.0,0.02324256264416321,0.15720155301346114,0.10521830458685677,0.001545633912428544,0.001545633912428544,0.11868059168710503,0.02324256264416321,0.001545633912428544,0.2838887618434825,0.2838887618434825,0.1563803915385377,0.03444507577114674,0.11868059168710501,0.046485125288326413,0.004636901737285634,0.06418686069311608,0.0029581079018990734,0.564819415785066,0.003726566985809908,0.0008211614749234108,0.002859801136784087
10,complete,819,908.6067636877864,909,90,200,18000.000000000004,0.02443464880782629,0.16497693205529823,0.10046397978986657,0.0016244750759772675,0.0016244750759772675,0.12152243513425368,0.02443464880782629,0.0016244750759772675,0.2796469650884985,0.2796469650884985,0.16405039843106817,0.03568969589144286,0.12152243513425366,0.04886929761565257,0.0048734252279318034,0.05822944072540459,0.002267864013488004,0.5570260661635094,0.0039889279008097234,0.0009265336242298976,0.0025559152722094006
